epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.2424,1.95998,7.3196,1.04605,0.00108,0.44444,0.05151,0.0394,2.26403,10.5627,0.94108,0.00022,0.00022,0.00022
2,101.496,2.21374,6.49701,1.03328,0.00144,0.59259,0.04486,0.01876,2.24974,11.0177,1.00641,0.000450892,0.000450892,0.000450892
3,150.979,2.08612,4.97143,1.08527,0.00153,0.62963,0.00514,0.00124,2.61064,11.5549,1.03356,0.00067228,0.00067228,0.00067228
4,199.011,2.12622,4.78196,1.06349,0.00135,0.55556,0.00119,0.00037,2.51548,9.29729,1.04379,0.000884164,0.000884164,0.000884164
5,246.99,2.12194,4.57941,1.12977,0.00117,0.48148,0.00241,0.00124,2.63034,9.702,1.07065,0.00108654,0.00108654,0.00108654
6,297.135,2.16294,4.46836,1.20084,0.58905,0.10706,0.11258,0.06506,2.78125,10.1838,1.06776,0.00127942,0.00127942,0.00127942
7,345.367,2.19893,3.94327,1.08169,0.00198,0.81481,0.11252,0.05593,3.06433,8.83174,1.20813,0.00146279,0.00146279,0.00146279
8,393.066,2.19855,3.94863,1.03924,0.90342,0.14815,0.27682,0.13683,2.3603,7.18826,1.11032,0.00163666,0.00163666,0.00163666
9,439.784,2.07926,3.43505,1.09427,1,0.16413,0.4866,0.17547,2.15895,6.87883,1.08062,0.0016832,0.0016832,0.0016832
10,486.921,2.16225,3.53613,1.09993,0.37516,0.20075,0.27336,0.09182,2.46239,6.70319,1.2276,0.0016436,0.0016436,0.0016436
11,533.871,2.18662,3.26447,1.15336,0.55663,0.27967,0.49217,0.18285,2.38597,6.15504,1.1399,0.001604,0.001604,0.001604
12,578.493,2.04118,2.99065,1.06179,0.50962,0.53919,0.37623,0.10037,2.13564,5.19721,1.09146,0.0015644,0.0015644,0.0015644
13,625.289,2.04269,2.66663,1.1764,0.73869,0.41932,0.52771,0.21027,2.04913,4.7305,1.16298,0.0015248,0.0015248,0.0015248
14,672.124,2.17423,2.82875,1.17494,0.75731,0.59259,0.66077,0.30092,1.82161,4.25266,1.09621,0.0014852,0.0014852,0.0014852
15,718.419,1.98403,2.24492,1.06408,0.84138,0.66667,0.7434,0.3168,1.86406,3.3064,1.08962,0.0014456,0.0014456,0.0014456
16,765.105,1.95182,2.37323,1.02677,0.72082,0.47829,0.6282,0.2565,1.95253,3.14148,1.10628,0.001406,0.001406,0.001406
17,811.253,2.00395,2.24306,1.0313,0.8149,0.66667,0.78828,0.29393,2.06204,3.02863,1.07012,0.0013664,0.0013664,0.0013664
18,859.097,1.88308,2.0964,1.07655,0.78354,0.62963,0.7122,0.28603,1.59121,2.68734,1.06645,0.0013268,0.0013268,0.0013268
19,905.646,1.90385,2.03453,1.03985,0.77332,0.7037,0.70578,0.28344,2.15675,2.64282,1.07634,0.0012872,0.0012872,0.0012872
20,953.657,2.1202,2.14395,1.08042,0.84181,0.59135,0.72387,0.33003,1.91712,2.34768,1.04939,0.0012476,0.0012476,0.0012476
21,1000.91,2.05758,2.15076,1.01968,0.73552,0.72133,0.74213,0.30721,1.87364,1.93183,1.02104,0.001208,0.001208,0.001208
22,1048.9,1.88154,1.92743,1.06321,0.79666,0.72591,0.76122,0.30362,2.08011,2.18694,1.0637,0.0011684,0.0011684,0.0011684
23,1094.39,1.92169,1.82772,1.04862,0.77455,0.63645,0.72357,0.31265,2.06787,2.13359,1.10005,0.0011288,0.0011288,0.0011288
24,1140.26,2.00744,1.73628,1.09167,0.86754,0.72806,0.80273,0.32421,2.09836,2.03918,1.12694,0.0010892,0.0010892,0.0010892
25,1185.44,1.70145,1.38082,1.02718,0.75955,0.74074,0.744,0.29734,2.131,2.02885,1.12864,0.0010496,0.0010496,0.0010496
26,1232.26,1.91149,1.5881,1.09473,0.83876,0.77089,0.75391,0.32632,1.68604,1.90185,1.06521,0.00101,0.00101,0.00101
27,1278.54,1.97072,1.64307,1.09032,0.75684,0.80717,0.81512,0.32558,1.72337,1.85801,1.05609,0.0009704,0.0009704,0.0009704
28,1325.18,1.77875,1.44963,1.01927,0.89344,0.7037,0.8065,0.31523,1.93678,1.98073,1.07943,0.0009308,0.0009308,0.0009308
29,1371.29,1.75144,1.40115,1.04672,0.85923,0.74074,0.78906,0.32721,1.74758,1.72132,1.04771,0.0008912,0.0008912,0.0008912
30,1417.05,1.78667,1.39383,1.07621,0.83304,0.73926,0.72464,0.33095,1.96424,1.77419,1.08091,0.0008516,0.0008516,0.0008516
31,1463.13,1.77158,1.48538,1.03095,0.90505,0.70613,0.80756,0.30062,2.07462,1.72257,1.12323,0.000812,0.000812,0.000812
32,1509.32,1.95461,1.41571,1.10498,0.90491,0.7037,0.87294,0.31826,2.08794,1.82273,1.11497,0.0007724,0.0007724,0.0007724
33,1555.74,1.8935,1.38021,1.00757,0.94146,0.81481,0.87972,0.37163,1.99446,1.64867,1.07249,0.0007328,0.0007328,0.0007328
34,1602.24,1.73862,1.31434,0.98034,0.91582,0.8062,0.86129,0.382,1.82912,1.59623,1.07082,0.0006932,0.0006932,0.0006932
35,1650.38,1.7335,1.2655,1.00438,0.78421,0.74074,0.78465,0.34397,1.92296,1.81397,1.08185,0.0006536,0.0006536,0.0006536
36,1696.59,1.77292,1.2607,0.99576,0.83331,0.81481,0.83381,0.33961,1.91787,1.83255,1.06741,0.000614,0.000614,0.000614
37,1743.37,1.72455,1.21111,1.00162,0.92145,0.86926,0.86713,0.37507,1.76106,1.36204,1.07361,0.0005744,0.0005744,0.0005744
38,1789.22,1.69277,1.10639,0.98848,0.88387,0.81481,0.82602,0.35247,1.88338,1.49572,1.07005,0.0005348,0.0005348,0.0005348
39,1836.06,1.68723,1.22978,0.98956,0.85158,0.74074,0.74432,0.30877,2.08148,1.58731,1.07787,0.0004952,0.0004952,0.0004952
40,1882.59,1.5229,1.07687,0.97886,0.8911,0.74074,0.74138,0.34778,1.92518,1.41289,1.05045,0.0004556,0.0004556,0.0004556
41,1928.33,1.68271,1.35556,1.0652,0.84115,0.81481,0.78182,0.37174,1.88842,1.33338,1.04625,0.000416,0.000416,0.000416
42,1973.96,1.61618,1.30542,0.99205,0.84526,0.80946,0.76861,0.35731,1.8916,1.35753,1.06322,0.0003764,0.0003764,0.0003764
43,2020.32,1.56293,1.28427,0.98188,0.8378,0.76555,0.7826,0.31576,2.02271,1.43461,1.08176,0.0003368,0.0003368,0.0003368
44,2066.57,1.70138,1.30751,0.99575,0.87564,0.81481,0.78008,0.33898,1.89509,1.36319,1.05245,0.0002972,0.0002972,0.0002972
45,2112.27,1.5425,1.18366,0.96305,0.84213,0.81481,0.77666,0.36544,1.86218,1.30563,1.04918,0.0002576,0.0002576,0.0002576
46,2158.21,1.53135,1.18904,0.96899,0.86785,0.77778,0.77464,0.35338,1.92966,1.33423,1.06633,0.000218,0.000218,0.000218
47,2203.64,1.55045,1.21365,0.98731,0.91892,0.83983,0.83803,0.36877,1.97791,1.36754,1.07279,0.0001784,0.0001784,0.0001784
48,2249.24,1.54525,1.2008,1.0136,0.91898,0.8405,0.84072,0.36503,1.99827,1.34535,1.0681,0.0001388,0.0001388,0.0001388
49,2295.03,1.50041,1.16034,0.95237,0.89157,0.85185,0.84145,0.36719,1.98996,1.31069,1.06519,9.92e-05,9.92e-05,9.92e-05
50,2341.33,1.45129,1.13458,0.98286,0.88589,0.85185,0.84225,0.35756,1.96971,1.29538,1.06017,5.96e-05,5.96e-05,5.96e-05
