epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0101,2.80628,11.3979,1.04809,0.00025,0.11765,4e-05,1e-05,2.62509,8.83286,0.94922,0.00018,0.00018,0.00018
2,65.7092,2.60855,9.05894,0.91785,0.00099,0.47059,0.00091,0.00016,2.61771,9.06327,0.93767,0.000372476,0.000372476,0.000372476
3,94.5745,2.51472,7.656,0.97035,0.00062,0.29412,0.00039,8e-05,2.65134,9.74465,0.94092,0.000557032,0.000557032,0.000557032
4,122.389,2.64964,7.32724,0.96925,0.00012,0.05882,2e-05,0,2.89251,10.3777,0.99112,0.000733668,0.000733668,0.000733668
5,155.437,2.77228,7.08845,1.01036,0.00012,0.05882,2e-05,0,2.80146,11.7504,0.97819,0.000902384,0.000902384,0.000902384
6,184.14,2.65254,5.97844,0.9645,0.00012,0.05882,2e-05,1e-05,3.24138,11.0283,1.09491,0.00106318,0.00106318,0.00106318
7,214.332,2.54867,5.72161,0.93706,0.00148,0.70588,0.00237,0.00055,2.64803,11.8622,0.97945,0.00121606,0.00121606,0.00121606
8,246.52,2.61354,5.43948,0.94608,0.00136,0.64706,0.00257,0.00073,2.86855,25.8788,1.04371,0.00136101,0.00136101,0.00136101
9,274.207,2.59647,4.87924,0.91817,0.0016,0.76471,0.04492,0.01481,2.74363,8.28975,0.96787,0.00149805,0.00149805,0.00149805
10,302.471,2.51748,4.49283,0.91309,0.00185,0.88235,0.05309,0.01736,2.60295,13.6477,0.93816,0.00162716,0.00162716,0.00162716
11,329.157,2.74313,4.75623,0.95174,0.0178,0.64706,0.01764,0.00535,2.50553,10.231,0.91307,0.001604,0.001604,0.001604
12,355.68,2.342,4.19094,0.89638,0.40727,0.58824,0.24548,0.08491,2.50839,5.51824,0.94336,0.0015644,0.0015644,0.0015644
13,390.047,2.4119,3.84799,0.91357,0.92271,0.70251,0.76597,0.23422,2.5481,4.83861,0.96956,0.0015248,0.0015248,0.0015248
14,419.583,2.35048,3.64687,0.88941,0.71349,0.41176,0.41529,0.11438,3.21227,5.58931,1.08158,0.0014852,0.0014852,0.0014852
15,451.045,2.56918,4.16313,0.93173,0.54487,0.47059,0.51879,0.1202,3.05314,5.05139,1.06017,0.0014456,0.0014456,0.0014456
16,484.834,2.53632,3.66629,0.91511,0.66496,0.70588,0.70576,0.20356,2.66389,3.76462,0.95679,0.001406,0.001406,0.001406
17,518.714,2.33578,3.24654,0.8925,0.80148,0.64706,0.72815,0.17141,2.87474,3.8858,0.98392,0.0013664,0.0013664,0.0013664
18,552.534,2.39407,3.25401,0.91658,0.86266,0.64706,0.70805,0.18762,2.825,3.7571,0.97713,0.0013268,0.0013268,0.0013268
19,581.269,2.34224,2.92843,0.9236,0.97322,0.70588,0.83079,0.22762,2.90415,3.27979,0.99311,0.0012872,0.0012872,0.0012872
20,609.483,2.34045,2.67083,0.8938,0.89458,0.70588,0.74396,0.24316,2.58551,3.14693,0.95348,0.0012476,0.0012476,0.0012476
21,634.286,2.23352,2.67281,0.90153,0.86505,0.82353,0.80489,0.21312,2.65667,3.04249,0.95861,0.001208,0.001208,0.001208
22,661.522,2.23188,2.80278,0.89369,0.73102,0.70588,0.71024,0.20385,2.64068,3.09926,0.95078,0.0011684,0.0011684,0.0011684
23,696.923,2.28569,2.44965,0.90269,0.84511,0.64227,0.7411,0.24056,2.40018,2.83362,0.91758,0.0011288,0.0011288,0.0011288
24,728.019,2.19856,2.67588,0.90757,0.90263,0.70588,0.69779,0.25346,2.39428,2.80748,0.92169,0.0010892,0.0010892,0.0010892
25,760.486,2.1745,2.14934,0.90953,0.9137,0.70588,0.75454,0.22107,2.52131,2.61201,0.95208,0.0010496,0.0010496,0.0010496
26,786.799,2.07177,2.30387,0.85767,0.84807,0.76471,0.80408,0.2136,2.55851,2.60737,0.94294,0.00101,0.00101,0.00101
27,812.584,2.33881,2.2573,0.87333,0.78542,0.64602,0.68059,0.21389,2.48626,2.62605,0.93036,0.0009704,0.0009704,0.0009704
28,840.189,2.28148,2.07237,0.87639,0.74659,0.69385,0.6691,0.24761,2.52339,2.57926,0.94011,0.0009308,0.0009308,0.0009308
29,870.014,2.1344,2.10876,0.85396,0.86451,0.76471,0.79905,0.27351,2.44938,2.49072,0.92966,0.0008912,0.0008912,0.0008912
30,899.754,2.22167,1.86243,0.85114,0.78747,0.65429,0.70544,0.22693,2.62465,2.40846,0.96513,0.0008516,0.0008516,0.0008516
31,926.574,2.27907,2.0129,0.92306,0.82825,0.70588,0.71428,0.24553,2.49927,2.42332,0.95018,0.000812,0.000812,0.000812
32,953.964,2.14761,1.87677,0.8761,0.9178,0.76471,0.84506,0.22934,2.36825,2.14149,0.9314,0.0007724,0.0007724,0.0007724
33,981.945,2.0671,1.85908,0.90517,1,0.75907,0.8526,0.25422,2.46493,2.12452,0.94364,0.0007328,0.0007328,0.0007328
34,1009.92,2.11362,1.64558,0.85774,0.844,0.6372,0.60583,0.25501,2.46044,2.31479,0.94177,0.0006932,0.0006932,0.0006932
35,1041.21,2.17201,1.7488,0.88253,0.8445,0.63948,0.6112,0.23535,2.44956,2.28024,0.93682,0.0006536,0.0006536,0.0006536
36,1077.4,1.96038,1.72971,0.8921,0.911,0.70588,0.78173,0.22134,2.55734,2.13435,0.95788,0.000614,0.000614,0.000614
37,1107.13,2.10933,1.74686,0.91386,0.9098,0.70588,0.79472,0.23507,2.61643,2.09609,0.96146,0.0005744,0.0005744,0.0005744
38,1136.64,1.98238,1.66541,0.88978,0.86476,0.75292,0.74754,0.24927,2.44734,2.08067,0.94273,0.0005348,0.0005348,0.0005348
39,1163.28,2.00298,1.73464,0.81904,0.93275,0.81629,0.81327,0.25217,2.4343,2.19229,0.94114,0.0004952,0.0004952,0.0004952
40,1190.16,1.97064,1.61675,0.85041,0.93296,0.81888,0.813,0.22921,2.51778,2.28582,0.95319,0.0004556,0.0004556,0.0004556
41,1217.14,1.98529,1.87644,0.91877,0.93331,0.82324,0.817,0.20903,2.57507,2.19757,0.9649,0.000416,0.000416,0.000416
42,1243.32,1.90529,1.91785,0.91912,0.86525,0.75597,0.74777,0.19574,2.71729,2.20697,0.98045,0.0003764,0.0003764,0.0003764
43,1267.89,1.84498,1.70828,0.91873,0.91061,0.70588,0.70375,0.19573,2.69514,2.22647,0.97001,0.0003368,0.0003368,0.0003368
