epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.4016,1.95998,7.3196,1.04605,0.00108,0.44444,0.05151,0.0394,2.26403,10.5627,0.94108,0.00022,0.00022,0.00022
2,101.737,2.21374,6.49701,1.03328,0.00144,0.59259,0.04486,0.01876,2.24974,11.0177,1.00641,0.000450892,0.000450892,0.000450892
3,150.136,2.08612,4.97143,1.08527,0.00153,0.62963,0.00514,0.00124,2.61064,11.5549,1.03356,0.00067228,0.00067228,0.00067228
4,197.834,2.12622,4.78196,1.06349,0.00135,0.55556,0.00119,0.00037,2.51548,9.29729,1.04379,0.000884164,0.000884164,0.000884164
5,244.364,2.12194,4.57941,1.12977,0.00117,0.48148,0.00241,0.00124,2.63034,9.702,1.07065,0.00108654,0.00108654,0.00108654
